noc,description,duties,titles,related_occupations
NOC 9213,"Supervisors in food and beverage processing supervise and co-ordinate the activities of workers who operate processing and packaging machines, and workers who grade food and beverage products. They are employed in fruit and vegetable processing plants, dairies, flour mills, bakeries, sugar refineries, fish plants, meat plants, breweries and other food and beverage processing establishments.","['Supervise, co-ordinate and schedule the activities of workers who process, package, test and grade food and beverage products', 'Establish methods to meet work schedules and co-ordinate work activities with other departments', 'Resolve work problems and recommend measures to improve productivity and product quality', 'Requisition materials and supplies', 'Train staff in job duties, safety procedures and company policy', 'Recommend personnel actions such as hirings and promotions', 'Prepare production and other reports.', 'Hazard analysis critical control point (HACCP) co-ordinators identify, evaluate, control and prevent hazards at all stages of the food production process.']","['flour milling team supervisor', 'supervisor, bottling', 'brewer supervisor', 'foreman/woman, poultry graders', 'production supervisor - food and beverage processing', 'supervisor, fish processing', 'supervisor, food product testers', 'supervisor, meat packing', 'supervisor, tobacco processing', 'supervisor, vegetable packing', 'HACCP co-ordinator', 'packaging supervisor - food and beverage processing']","['Agricultural and fish products inspectors', 'Manufacturing managers', 'Process control and machine operators, food and beverage processing', 'Industrial butchers and meat cutters, poultry preparers and related workers', 'Fish and seafood plant workers', 'Testers and graders, food and beverage processing']"
NOC 9521,"Aircraft assemblers assemble, fit and install prefabricated parts to manufacture fixed wing or rotary wing aircraft or aircraft subassemblies. Aircraft assembly inspectors inspect aircraft assemblies for adherence to engineering specifications. They are employed by aircraft and aircraft subassembly manufacturers.","['Aircraft assemblers', 'Read and interpret aircraft assembly diagrams', 'Assemble and fit pre-fabricated parts to form subassemblies, working at benches or directly on an aircraft structure', 'Assemble, fit and install pre-fabricated parts and subassemblies such as aircraft skins, flight controls, rigging, hydraulics and other mechanical systems.', 'Aircraft assembly inspectors', 'Inspect aircraft assemblies, using measuring and testing equipment, for adherence to engineering specifications', 'Inspect assemblies for alignment, symmetry, dimensions, fit and quality of workmanship', 'Complete detailed inspection documentation.']","['aircraft assembler', 'aircraft inspector, assembly', 'bench fitter mechanic - aircraft assembly', 'wing tank mechanic - aircraft assembly', 'rigger - aircraft assembly', 'bench and structural assembler', 'airframe assembler']","['Aircraft instrument, electrical and avionics mechanics, technicians and inspectors', 'Aircraft mechanics and aircraft inspectors', 'Machine fitters', 'Industrial painters, coaters and metal finishing process operators', 'Supervisors, other mechanical and metal products manufacturing']"
NOC 9522,"Motor vehicle assemblers assemble and install prefabricated motor vehicle parts and components to form subassemblies and finished motor vehicles. Motor vehicle inspectors and testers inspect and test parts, subassemblies, accessories and finished products to ensure proper performance and conformity to quality standards. They are employed in plants which manufacture automobiles, vans and light trucks.","['Motor vehicle assemblers', 'Read electrical schematics, blueprints and other technical diagrams', 'Bolt, screw, clip, weld, solder or otherwise fasten motor vehicle parts and components together using hand and power tools and equipment', 'Operate and tend automated assembling equipment such as robotic and fixed automation equipment', 'Connect cables, tubes and wires to complete assemblies and installations', 'Position and install parts, subassemblies and accessories such as engines, transmissions, door panels or instrument panels using hand and power tools and other aids such as overhead hoists', 'Fit and adjust parts such as doors, hoods and trunk lids.', 'Motor vehicle inspectors and testers', 'Check motor vehicle exterior priming and colour coats, sealers and glazers, and mark, record and report defects to be repaired', 'Test motor vehicle electrical assemblies, equipment and wiring for proper performance using testing devices such as meters, analyzers and timing lights', 'Inspect auto parts and fully assembled motor vehicles for defects to ensure that the defects have been corrected', 'Drive and test motor vehicles on roll testing device to ensure that transmission, axle, engine and brakes function properly.']","['test driver - automobile assembly', 'transmission installer', 'van assembler', 'car assembler', 'auto assembly worker', 'sport utility vehicle (SUV) assembler', 'assembly inspector - motor vehicle manufacturing', 'body assembler - motor vehicle manufacturing', 'chassis inspector - motor vehicle manufacturing', 'door fitter', 'motor vehicle assembler']","['Supervisors, motor vehicle assembling', 'Mechanical assemblers and inspectors', 'Automotive service technicians, truck and bus mechanics and mechanical repairers', 'Industrial painters, coaters and metal finishing process operators']"
NOC 9525,"Assemblers, fabricators and inspectors of industrial electrical motors and transformers assemble, fabricate, fit, wire and inspect heavy-duty industrial electrical equipment. They are employed by manufacturers of industrial electric motors, transformers, control equipment, railway locomotives, transit vehicles and other heavy electrical equipment.","['Assemblers', 'Assemble and fit metal and other prefabricated parts to close tolerances according to blueprints to build heavy-duty electric motors or transformers', 'Assemble stators or armatures for heavy-duty electric motors; compress steel laminations to build transformer cores; assemble windings into core using overhead cranes and make electrical connections using crimping, brazing and soldering equipment', 'Assemble and fit electrical motor or transformer auxiliary equipment such as bushings, tap changes, conduit boxes, heating devices, protective equipment and cooling equipment', 'Set up and adjust production machinery and equipment, such as coil winding machines, for the manufacture of heavy-duty electrical equipment', 'May perform basic tests on electric motors.', 'Electrical fitters and wirers', 'Interpret engineering drawings, electrical schematics and blueprints', 'Fit motor starters, contactors, capacitors, circuit breakers, voltage regulators, printed circuit boards or other electrical control devices into switchboards and panelboards to produce automated processing control equipment, electrical distribution panels, or other industrial electrical control equipment', 'Wire electrical connections for switchboards and panelboards', 'Assemble panelboard and switchboard cabinets and install bus bars used to carry heavy electrical current', 'May operate metal fabricating equipment to fabricate or modify bus bars.', 'Inspectors', 'Monitor production and troubleshoot production problems', 'Check final assembly of electric motors, transformers or control equipment for adherence to quality control standards', 'Collect, record and summarize inspection results.']","['assembler and wirer, motors and generators', 'panelboard assembler - industrial electrical equipment', 'wirer, electrical switchgear panels', 'coil winder, transformer', 'control panel assembler', 'transformer winder', 'electrical fitter', 'fitter-assembler, AC (alternating current) and DC (direct current) motors', 'inspector, electrical control panel', 'power transformer assembler', 'transformer inspector', 'assembler, switchgear and control panel', 'inspector and tester, AC and DC motors', 'switchgear fitter-wirer', 'winder, AC and DC armatures']","['Electrical mechanics', 'Electrical and electronics engineering technologists and technicians', 'Supervisors, electrical products manufacturing', 'Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing']"
NOC 9526,"Mechanical assemblers assemble a wide variety of mechanical products such as trucks, buses, snowmobiles, garden tractors, automotive engines, transmissions, outboard motors, gearboxes, hydraulic pumps and sewing machines. Inspectors in this unit group check and inspect subassemblies and finished products to ensure proper quality and product specifications. They are employed by machinery and transportation equipment manufacturers and by other manufacturing companies.","['Mechanical assemblers', 'Assemble, fit and install prefabricated parts to form subassemblies or finish products using hand and power tools', 'Position, align and adjust parts for proper fit and assembly and connect cables, tubes and wires', 'Fasten parts together using bolting and riveting equipment or other fastening and joining techniques', 'Operate or tend automated assembling equipment, such as robotics and fixed automation equipment', 'Operate small cranes to transport or position larger parts as required.', 'Mechanical inspectors', 'Check subassemblies and inspect finished products for proper quality', 'Check mechanical assemblies and subassemblies for alignment and proper functioning', 'Test and check electrical assemblies and wiring for proper connections', 'Perform minor adjustments and repairs.']","['automotive engine assembler', 'garden machinery assembler', 'gearbox assembler', 'hydraulic hoist assembler', 'sewing machine assembler', 'truck assembler', 'tractor assembler', 'transmission assembler', 'truck assembly inspector', 'truck trailer assembler', 'vending machine assembler', 'gearcase assembler', 'mechanical assembler', 'snowmobile assembler']","['Aircraft assemblers and aircraft assembly inspectors', 'Motor vehicle assemblers, inspectors and testers', 'Machine fitters', 'Supervisors, other mechanical and metal products manufacturing']"
NOC 9412,"Foundry workers make foundry moulds and cores by hand or machine, cast molten metal, and operate furnaces in the foundry industry. They are employed by metal foundries and foundry departments of metal products manufacturing companies.","['Manual mouldmakers', 'Make and repair sand moulds using patterns, moulding boxes, sand and hand tools following bench, floor or pit moulding methods; operate ovens to dry moulds; may pour molten metal into moulds to produce metal castings.', 'Manual coremakers', 'Make cores for use inside moulds to form holes or void spaces in castings using core boxes, sand, hammer and wire or other reinforcing material; coat cores with protective materials and bake cores in oven.', 'Machine mouldmakers and coremakers', 'Set up, adjust and operate various mouldmaking and coremaking machines to make sand and ceramics moulds and cores.', 'Metal casters', 'Set up and operate various casting machines to cast ferrous and non-ferrous metal products; hand ladle and pour molten metal into moulds to produce castings.', 'Foundry furnace operators', 'Operate furnaces used to melt metals for moulding and casting.']","['ceramic mouldmaker', 'foundry worker', 'furnace operator - foundry', 'machine coremaker', 'sand coremaker', 'manual moulder', 'melter - foundry', 'bench moulder', 'metal caster', 'casting machine operator', 'pit moulder', 'sand moulder', 'die-casting machine operator']","['Supervisors, mineral and metal processing', 'Labourers in mineral and metal processing', 'Central control and process operators, mineral and metal processing']"
NOC 9413,"Glass forming and finishing machine operators operate multi-function process control machinery or single-function machines to melt, form, cut or finish flat glass, glassware, bottles, and other glass products. Glass cutters cut flat glass of various thicknesses to specified sizes and shapes by hand. They are employed by glass and glass products manufacturing companies.","['Glass process control operators', 'Operate multi-function process control machinery through control panels, computer terminals or other control systems to mix and melt raw materials; heat, anneal, temper or form float glass or glass products; and coat glass with silver or other metals and materials', 'Observe gauges, computer printouts and video monitors to verify specified processing conditions and make adjustments as necessary', 'Maintain shift log of production and other data', 'May operate process control machinery to cut glass or assemble glass window units', 'May clean and maintain process machinery', 'May ensure adequate levels of oil, soap, talc or other materials used in machine production of glass.', 'Glass forming machine operators', 'Set up and adjust automatic glass feeding, flowing and forming machines', 'Operate and maintain machines that press or blow molten glass in moulds to form or shape containers, such as bottles, jars and drinking glasses', 'Operate electric kilns that heat glass sheets and mould to the shape and curve of metal jigs', 'Spray or swab moulds with oil solutions to prevent adhesion of glass', 'Weigh, measure and check production samples to assess conformance to specifications using scales and gauges and by visual verification.', 'Glass finishing machine operators', 'Set up and adjust glass and glass-product finishing machines', 'Operate and maintain finishing machines to grind, drill, sand, bevel, decorate, wash or polish glass or glass products', 'Visually inspect products for quality', 'Record manufacturing information such as quantity, size and type of goods produced.', 'Glass cutters', 'Jig, measure and mark glass or place pattern on or under glass for cutting', 'Examine and mark defective glass to obtain best cut', 'Cut glass along marked outlines or around pattern using hand tools', 'Smooth rough edges using belt sander or smoothing wheels', 'Set up, operate and adjust computerized or robotic glass cutting equipment', 'Monitor process for product quality.']","['glass beveller', 'glass edger', 'float operator - glass forming', 'glass-blowing machine operator', 'hand glass cutter', 'glass-finishing machine operator', 'glass moulder', 'glass-pressing machine operator', 'mirror maker', 'bottle machine operator - glass products manufacturing']","['Artisans and craftspersons', 'Supervisors, mineral and metal processing', 'Inspectors and testers, mineral and metal processing', 'Labourers in mineral and metal processing', 'Glaziers', 'Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing']"
NOC 9414,"Concrete, clay and stone forming operators cast and finish concrete products, operate machines to extrude, mould, press and bake clay products, and operate machines to form, cut and finish stone products. They are employed by concrete, clay and stone products manufacturing companies.","['Concrete products forming and finishing workers', 'Construct clay models and moulds by hand and with hand tools for use in casting concrete products', 'Build and repair wooden forms used to mould concrete products', 'Position reinforcing rods or wire mesh in moulds and fill moulds with concrete from suspended pouring buckets', 'Start vibrating tables to settle concrete, or tamp concrete using electric vibrator', 'Remove castings from mould with crane or forklift, and finish surfaces of castings using screed or trowel', 'Cut cured concrete pipe sections with saw or chisel, and cement sections together to form odd shaped fittings.', 'Concrete products machine operators', 'Set up, adjust and operate single-function machines to mix, drill, grind and cut concrete to specifications in the manufacture of concrete products', 'Check products for quality control, repair flaws and perform ongoing machine adjustments and minor maintenance as necessary', 'Move products using forklift, crane or hydraulic hoist', 'Record manufacturing information such as quantity, size and type of goods produced.', 'Clay products forming and finishing machine operators', 'Set up and operate automatic machines that mix ingredients, extrude tempered clay mixture and cut extruded clay into sections to make products such as bricks, drain tiles and porcelain insulators', 'Operate mechanical or hydraulic ram and hot-presses to form pottery and porcelain ware', 'Prepare and mix slip and fill moulds with slip to form pottery and porcelain ware such as jugs, cups, sinks and toilet bowls', 'Operate kiln to bake clay products to specified hardness.', 'Stone forming and finishing workers', 'Operate blade or wire saws to cut blocks of stone to specified dimensions', 'Operate machines to grind and polish surfaces of stone blocks, slabs or other stone products to specific shape or design and to produce smooth finish', 'Operate sandblasting equipment to cut inscriptions or decorative designs in stone monuments', 'Finish stone products with spray paint and by mounting plaques or installing concrete bases', 'Operate stone-dressing lathe to sharpen and dress grindstones that grind logs into pulp', 'Operate machine to drill holes in blocks or slabs of stone according to specifications.']","['marble cutter', 'moulder, clay products', 'clay press operator', 'brick presser operator', 'stonework moulder', 'asbestos shingle presser', 'granite cutter', 'stone planer', 'precast concrete slab maker', 'concrete block maker', 'finisher - concrete, clay and stone products', 'precast concrete moulder', 'stone driller']","['Painters, sculptors and other visual artists', 'Artisans and craftspersons', 'Supervisors, mineral and metal processing', 'Inspectors and testers, mineral and metal processing', 'Labourers in mineral and metal processing', 'Bricklayers', 'Concrete finishers']"
NOC 7372,"Drillers in surface mining, quarrying and construction operate mobile drilling machines to bore blast holes in open-pit mines and quarries and to bore holes for blasting and for building foundations at construction sites. Blasters in this unit group fill blast holes with explosives and detonate explosives to dislodge coal, ore and rock or to demolish structures. They are employed by mining, quarrying and construction companies and by drilling and blasting contractors.","['Drillers', 'Drive and operate tracked or truck-mounted rotary drilling, air-track or other drilling machines to bore large blast holes to specified depths at staked positions in open-pit mine or quarry', 'Operate drilling machines to drill blast holes in rock at road or other construction sites', 'Operate tracked or truck-mounted drill equipped with auger or other attachment to drill holes for building foundations or pilings', 'May measure location and stake out pattern of holes to be drilled, load blast holes with explosives and detonate explosives to dislodge coal, ore or rock.', 'Blasters', 'Read instructions or diagrams, lay out drill pattern and determine depth and diameter of blast holes and conduct field tests to determine type and quantity of explosives required', 'Assemble or direct other workers to assemble primer charges using selected detonators, fuses, detonating cords and other materials', 'Load explosives in blast holes by hand or direct movement of bulk explosives trucks to load holes', 'Connect electrical wires, detonating cords or fuses into series and connect series to blasting machines; press handle or button to detonate charges', 'Handle, store and transport explosives and accessories in accordance with regulations and ensure that safety procedures are observed', 'May operate air-track, rotary, down-the-hole or other drilling machines to drill blast holes or may direct drilling of blast holes.']","['rotary drilling machine operator', 'blaster, construction', 'driller, construction', 'open-pit blaster', 'blaster - surface mining', 'driller - surface mine', 'blaster - quarrying']","['Underground production and development miners', 'Water well drillers', 'Contractors and supervisors, heavy equipment operator crews', 'Supervisors, mining and quarrying', 'Oil and gas well drillers, servicers, testers and related workers']"
NOC 7381,"Printing press operators set up and operate sheet and web-fed presses to print text, illustrations and designs on a wide variety of materials such as paper, plastic, glass, leather and metal. They are employed by commercial printing companies; newspapers, magazines, and other publishing companies; and establishments in the public and private sectors that have in-house printing departments.","['Review job orders to determine job specifications such as production time, colour sequence and quantities required, and advise press crew of these specifications', 'Mount plates or cylinders and make necessary adjustments', 'Fill ink fountains and take measurements, make adjustments and determine settings to control colour and viscosity', 'Set up press and check samples for ink coverage, alignment and registration', 'Monitor regular press runs for quality and consistency using computer control console and make adjustments as required', 'Remove and clean plates and cylinders at end of press run', 'Direct activities of press crew and ensure that safety procedures are adhered to.']","['assistant pressman/woman', 'first pressman/woman', 'apprentice pressman/woman', 'flexographic press operator', 'offset press operator', 'printing press operator', 'rotogravure pressman/woman - printing']","['Artisans and craftspersons', 'Supervisors, printing and related occupations', 'Plateless printing equipment operators', 'Textile fibre and yarn, hide and pelt processing machine operators and workers']"
NOC 7511,"Transport truck drivers operate heavy trucks to transport goods and materials over urban, interurban, provincial and international routes. They are employed by transportation, manufacturing, distribution and moving companies, and trucking employment service agencies, or they may be self-employed. This unit group also includes drivers of special purpose trucks and shunters who move trailers to and from loading docks within trucking yards or lots.","['Long-haul transport truck drivers', 'Operate and drive primarily tractor-trailor, long-combination vehicle and straight-body trucks weighing over 4500 kg to transport goods and materials over long distances', 'Plan trip logistics and obtain required documentation to transport goods', 'Perform pre-trip, en route and post-trip inspection of vehicle systems, equipment and accessories such as tires, lights and turning signals, brakes and cold storage', 'Ensure cargo is secured properly in accordance with safety requirements and follow safety procedures for transporting dangerous goods', 'Obtain special permits and other documents required to transport cargo on international routes', 'Record cargo information, hours of service, distance travelled and fuel consumption', 'Administer bills of lading and manually or electronically maintain log books', 'Communicate with dispatcher, other drivers and customers using communication devices and on-board computers', 'May perform emergency roadside repairs', 'May drive as part of a two-person team or convoy', 'May transport hazardous products or dangerous goods.', 'Short-haul and local transport truck drivers', 'Operate and drive primarily straight trucks to transport goods and materials mainly on local routes and short interurban routes', 'Perform pre-trip, en route and post-trip inspection and oversee all aspects of vehicle such as condition of equipment, and loading and unloading of cargo', 'May drive special purpose trucks such as tow trucks, dump trucks, hydrovac trucks or cement mixing trucks.']","['transport driver', 'truck driver, heavy truck', 'logging truck driver', 'long haul truck driver', 'tow truck driver', 'truck driver, tractor-trailer', 'truck driver', 'shunt truck driver', 'bulk goods truck driver', 'dump truck driver', 'flatbed truck driver', 'moving van driver']","['Supervisors, motor transport and other ground transit operators', 'Public works maintenance equipment operators and related workers', 'Railway and motor transport labourers', 'College and other vocational instructors', 'Delivery and courier service drivers', 'Dispatchers']"
NOC 7513,"Taxi and limousine drivers drive automobiles and limousines to transport passengers. Chauffeurs drive automobiles and limousines to transport personnel and visitors of businesses, government or other organizations or members of private households. Taxi and limousine drivers are employed by taxi and other transportation service companies, or they may be self-employed. Chauffeurs are employed by businesses, government and other organizations, or private individuals or families.","['Taxi and limousine drivers', 'Pick up passengers and drive them to destinations in taxicabs or limousines', 'Help passengers with luggage and with boarding and exiting vehicles and assist passengers with special needs', 'Collect flat-rate or taximeter fares', 'Maintain travel logs and record cash and credit transactions', 'Maintain contact with taxi dispatch unit', 'Clean and make minor repairs to vehicle or take vehicle for servicing', 'May provide pick up and delivery services on request.', 'Chauffeurs', 'Pick up or meet employer according to request, appointment or schedule', 'Drive employer to destinations in automobile or limousine', 'Perform business and personal errands for employer such as delivering and picking up mail, business documents and parcels', 'Clean and make minor repairs to vehicle or take vehicle for servicing.']","['airport limousine driver', 'taxi driver', 'limousine driver', 'company chauffeur', 'private chauffeur']","['Supervisors, motor transport and other ground transit operators', 'Dispatchers']"
NOC 7522,"Public works maintenance equipment operators and related workers operate vehicles and equipment to maintain streets, highways and sewer systems and operate trucks to collect garbage and recyclable materials. This unit group also includes workers who clear vegetation close to power lines, workers who inspect the condition of utility poles and workers who locate underground utility lines and pipes. They are employed by municipal, provincial and federal public works departments, private contractors under contract with government public works departments and private companies involved in the collection of refuse and recyclable materials.","['Operate garbage trucks to remove garbage and other refuse and dump loads at designated sites', 'Operate street cleaning equipment such as street sweepers or other vehicles equipped with rotating brushes to remove sand, litter and trash', 'Operate snowplows or trucks fitted with plow blades to remove snow from streets, highways, parking lots and similar areas', 'Operate sewer maintenance equipment such as rodders and sewer jet cleaners to maintain and repair sewer systems', 'Operate trucks equipped with apparatuses for spreading sand, salt or abrasives on roadways', 'Operate chainsaws and other clearing equipment to fell trees and cut back vegetation close to power lines', 'Operate equipment and hand tools to inspect and test utility poles for decay and deterioration', 'Operate equipment and instruments to locate underground utility lines and pipes', 'Check, lubricate, refuel and clean equipment and report any malfunctions to supervisor.']","['street sweeper operator', 'sewer-flushing truck operator - public works', 'garbage truck driver', 'street flusher operator', 'sand spreader operator', 'salt truck operator', 'municipal maintenance equipment operator', 'snow removal equipment operator - public works', 'public works maintenance equipment operator', 'power pole inspector', 'utility arborist', 'utility locator']","['Transport truck drivers', 'Public works and maintenance labourers', 'Heavy equipment operators (except crane)', 'Contractors and supervisors, heavy equipment operator crews', 'Landscaping and grounds maintenance labourers']"
NOC 7533,"Boat and cable ferry operators and workers in related occupations operate lock gates, bridges and similar equipment along canal systems and operate cable ferries and ferry terminals. This unit group also includes boat operators, and owner-operators, who operate small motorboats or watercraft to transport passengers or freight. They are employed by the federal government, cable ferry companies, ferry terminals, marine companies and canal, port or harbour authorities. Owner-operators of small boats are self-employed.","['Lock equipment operators', 'Operate telecommunication equipment or use portable loudspeakers to direct movements of vessels in lock area', 'Operate controls to open or close lock gates', 'Operate controls to raise, lower or turn bridges', 'Observe progress of vessels passing through locks.', 'Cable ferry operators', 'Signal passengers and motor vehicles to embark and disembark', 'Operate cable ferry across narrow waterway', 'Perform routine maintenance and repairs to engine, cables and winches.', 'Ferry terminal workers', 'Operate controls to adjust landing bridge, position or remove gangplank, open or close doors and gates, and secure or remove docking devices', 'Signal passengers and motor vehicles to embark and disembark', 'May collect tickets or fares from passengers.', 'Boat operators', 'Operate motorboats, launches, small ferry boats and other similar vessels to transport passengers or freight', 'Maintain boats and equipment on board, such as engines, winches, derricks, fire extinguishers and life preservers', 'May perform other duties, such as checking for oil spills or other pollutants around ports and harbours, patrolling beaches and measuring depth of water.']","['lockmaster', 'ferry terminal worker', 'loading bridge operator', 'bridgemaster', 'cable ferry operator', 'linesman/woman - canal lock system', 'canal lock operator', 'charter boat operator', 'launch master', 'sightseeing boat operator', 'small craft operator', 'water taxi operator', 'scow captain', 'motorboat operator']","['Deck officers, water transport', 'Water transport deck and engine room crew']"
NOC 9423,Rubber processing machine operators and related workers operate rubber processing machinery and assemble and inspect rubber products. They are employed by tire manufacturers and other rubber products manufacturing companies.,"['Rubber processing machine operators', 'Set up, operate and tend machinery used for mixing, calendering, extruding, moulding and curing rubber materials or rubber products', 'Load or feed rubber, pigments, filler, oil and chemicals into machines', 'Check and monitor processing conditions and product quality', 'Adjust machines to proper setting as required', 'Train or assist in training new workers.', 'Rubber products assemblers', 'Lay out and prepare rubber materials for assembly', 'Operate machines or equipment or use hand tools to cut, shape, splice, fit and cement rubber materials to form rubber parts or finished rubber products', 'Operate finishing machines or equipment to trim, grind, or buff rubber products into final form', 'Train or assist in training new workers.', 'Rubber products inspectors', 'Inspect finished rubber products for defects and conformance to specifications and quality standards, visually or using instruments', 'Affix seals or tags to approved products and mark and reroute defective products for repair or recycle', 'Fill out product inspection report', 'May make minor adjustments or repairs to products.']","['blow-out and test operator - rubber products', 'moulding press tender - rubber products manufacturing', 'refiner mill tender - rubber products manufacturing', 'tire builder', 'tire inspector', 'hose builder, rubber', 'inspector, rubber products manufacturing', 'rubber processing machine operator', 'scrap rubber grinder - recycling', 'cure operator - rubber products manufacturing', 'extruder operator - rubber products manufacturing', 'rubber products assembler', 'banbury operator - rubber products manufacturing', 'belt builder, rubber', 'calender machine operator - rubber products manufacturing']","['Supervisors, plastic and rubber products manufacturing', 'Plastics processing machine operators', 'Plastic products assemblers, finishers and inspectors', 'Labourers in rubber and plastic products manufacturing']"
NOC 9431,"Sawmill machine operators operate, monitor and control automated lumbermill equipment to saw timber logs into rough lumber; saw, trim and plane rough lumber into dressed lumber of various sizes; and saw or split shingles and shakes. They are employed in sawmills and planing mills.","['Operate front-end loaders and stationary deck cranes to feed logs into the sawmill', 'Examine logs and rough lumber to determine size, condition, quality and other characteristics to decide best lumber cuts to carry out, or use automated equipment to convey logs through laser scanners which determine the most productive and profitable cutting patterns', 'Operate automated lumbermill equipment from control rooms or consoles to saw logs into rough lumber; saw, trim and plane rough lumber into dressed lumber of various sizes; and saw or split shingles and shakes', 'Start conveyor system to move logs and lumber to and from saws', 'Set up and adjust saw equipment and replace blades or bands using wrenches, gauges and other hand tools', 'Operate equipment to sort and stack lumber by length and thickness, move stacks to storage areas or drying kilns, and feed lumber through planers', 'Monitor movement of lumber and computer screens to ensure cuts are made according to specifications, and print production reports', 'Clean and lubricate sawmill equipment.']","['planer operator', 'trimmerman/woman', 'shake splitter', 'circular saw operator', 'edgerman/woman', 'head sawyer', 'log cut-off operator', 'resaw operator']","['Other wood processing machine operators', 'Labourers in wood, pulp and paper processing', 'Woodworking machine operators', 'Supervisors, forest products processing', 'Lumber graders and other wood processing inspectors and graders']"
NOC 9432,Pulp mill machine operators operate and monitor various types of processing machinery and equipment to produce pulp. They are employed by pulp and paper companies.,"['Operate and monitor screening equipment, bleaching equipment, digesters, mixing tanks, washers, and other pulp processing machinery and equipment to carry out one or more cellulose processing steps', 'Observe equipment and machinery panel indicators, gauges, level indicators and other equipment instruments to detect machinery and equipment malfunctions and ensure process steps are carried out according to specifications', 'Communicate with pulping control operator to make process adjustments and start up or shut down machinery and equipment as required', 'Collect processing samples and conduct titration tests, pH readings, specific density tests and other routine tests on pulp and solutions', 'Complete and maintain production reports.']","['assistant bleacher operator - pulp and paper', 'assistant digester operator', ""cook's first helper - pulp and paper"", 'field operator - pulp and paper', 'screenman/woman - pulp and paper', 'refiner operator - pulp and paper', 'grinderman/woman - pulp and paper', 'repulper operator', 'cook - pulp and paper', 'thermomechanical pulp assistant operator', 'digester operator - pulp and paper', 'thermomechanical pulp operator']","['Pulping, papermaking and coating control operators', 'Labourers in wood, pulp and paper processing', 'Supervisors, forest products processing']"
NOC 9434,"Other wood processing machine operators operate and tend wood processing equipment and machines to remove bark from logs, produce wood chips, preserve and treat wood, and produce waferboards, particleboards, hardboards, insulation boards, plywood, veneers and similar wood products. They are employed in sawmills, woodrooms of pulp mills, planing mills, wood treatment plants, waferboard plants and other wood processing plants.","['Operate and tend various wood processing equipment and machines to remove bark, knots and dirt from logs; reduce logs or sawmill waste into wood chips or flakes; stack and band lumber; screen wood chips; and produce waferboards, particleboards, hardboards and insulation boards', 'Operate and tend conveyors, lathes, sanding machines and other equipment to peel and slice veneer from logs and log sections, and to glue, press, trim, sand and splice veneer sheets', 'Operate and tend kilns, treating tanks and other equipment to dry lumber and other wood products, and to treat chemically and impregnate wood products with preservatives', 'Observe equipment, panel indicators, video monitors, and other instruments to detect malfunctions and ensure that processes are operating according to specifications', 'Assemble plywood panels and repair plywood and veneer mechanically or manually', 'Start up, shut down, set up, adjust and assist in maintaining processing equipment and machines as required', 'Complete and maintain production reports.']","['particleboard line operator', 'lumber kiln operator', 'plywood panel assembler', 'veneer dryer tender', 'timber treating tank operator', 'barker operator', 'chipper operator', 'wood treater', 'veneer lathe operator', 'waferboard press operator']","['Sawmill machine operators', 'Labourers in wood, pulp and paper processing', 'Supervisors, forest products processing']"
NOC 9447,"Inspectors and graders in textile, fabric, fur and leather products manufacturing inspect and grade textile, fabric, fur and leather products. They are employed by textile companies, leather tanning and fur dressing establishments and garment, fur and leather products manufacturers.","['Examine natural, synthetic and hybrid textile, fabric, fur and leather garments or products for conformity to quality standards', 'Inspect and grade animal hides and pelts according to size, condition and weight', 'Verify fit or size of finished garments and products by measuring or comparing products with samples and patterns', 'Mark defects, repair minor imperfections, cut excess materiel using scissors, and remove lint and spots using brushes, lint removers and cleaning solutions', 'Grade and sort finished products and tag according to size, style and quality', 'Record information on products inspected', 'May package products.']","['hide and pelt processing inspector', 'fabric examiner', 'textile product sampler', 'shoe inspector', 'leather grader', 'fur matcher - fur products manufacturing', 'colour grader - textiles', 'fibre inspector - textiles', 'fur grader', 'garment inspector', 'leather goods inspector', 'yarn inspector', 'cloth inspector', 'quality control inspector - textiles', 'textile grader']","['Supervisors, textile, fabric, fur and leather products processing and manufacturing']"
NOC 9445,"Fabric cutters cut fabric to make parts for garments, linens and other articles. Fur cutters cut fur pelts to make parts for garments and other fur articles. Leather cutters cut leather to make parts for shoes, garments and other leather articles. Fabric cutters are employed by clothing and textile manufacturers and other manufacturers of fabric products. Fur cutters are employed by furriers and fur products manufacturers. Leather cutters are employed by shoe and other leather products manufacturers.","['Fabric cutters', 'Place patterns on top of layers of fabric and cut fabric using electric or manual knives, cutters or computer numerically controlled (CNC) cutting devices', 'Adjust cutting technique to type of fabric and style of garment', 'May cut fabric samples.', 'Fur cutters', ""Cut fur skins in diagonal strips to specified length and shape of pelt using furrier's knives and cutters"", 'Number pelts to indicate their location on pattern', 'May sort or match skins, and may prepare fur samples.', 'Leather cutters', 'Select leather and cutting dies for leather goods and shoe parts according to specifications', 'Position leather on cutting bed of machine, maximizing usage according to skin grain, skin flaws and skin stretch', 'Operate clicker or punch press to stretch leather', 'Operate machine to cut leather or cut single leather skins by hand to make leather products', 'May cut leather samples.']","['fur cutter', 'glove cutter', 'shoe cutter', 'clothing cutter', 'fabric cutter', 'leather cutter', 'sample cutter']","['Shoe repairers and shoemakers', 'Tailors, dressmakers, furriers and milliners']"
