noc,expertise,skills,knowledge
NOC 511,"['Develop and administer policies and programs', 'Develop, promote and implement public relations and promotional programs', 'Prepare funding and grant applications and proposals', 'Prepare budgets and monitor revenues and expenses', 'Perform duties of a librarian, archivist or curator', 'Plan, organize, direct, control and evaluate daily operations']","['Management : Recruiting and Hiring', 'Management : Strategic Planning', 'Management : Co-ordinating and Organizing', 'Management : Allocating and Controlling Resources', 'Management : Evaluating', 'Management : Supervising', 'Analysis : Planning', 'Analysis : Analyzing Information', 'Communication : Liaising and Networking', 'Communication : Interviewing', 'Communication : Professional Communicating', 'Communication : Teaching and Training', 'Information Handling : Managing Information']","['Business, Finance and Management : Marketing', 'Business, Finance and Management : Business Management', 'Engineering and Technology : Computer and Information Systems', 'Social Sciences and Arts : Fine and Applied Arts', 'Social Sciences and Arts : Library and Heritage', 'Social Sciences and Arts : History and Archaeology']"
NOC 632,"['Develop and implement policies and procedures for daily operations', 'Negotiate with suppliers for the provision of materials and supplies', 'Negotiate with clients for the use of facilities', 'Prepare budgets and monitor revenues and expenses', 'Prepare marketing plans', 'Implement marketing activities', 'Enforce policies and procedures', 'Establish work schedules', 'Assist clients/guests with special needs', ""Address customers' complaints or concerns"", 'Develop and implement business plans']","['Management : Allocating and Controlling Resources', 'Management : Co-ordinating and Organizing', 'Management : Evaluating', 'Management : Recruiting and Hiring', 'Management : Strategic Planning', 'Management : Supervising', 'Analysis : Analyzing Information', 'Analysis : Planning', 'Analysis : Projecting Outcomes', 'Communication : Interviewing', 'Communication : Negotiating and Adjudicating', 'Communication : Promoting and Selling']","['Business, Finance and Management : Business  Administration', 'Business, Finance and Management : Business Management', 'Business, Finance and Management : Client  Service', 'Law and Public Safety : Public Safety and Security']"
NOC 1112,"['Analyze investment projects', 'Develop, implement and use tools for managing and analyzing financial portfolio', 'Plan short- and long-term cash flows and assess financial performance', 'Evaluate financial risk, prepare financial forecasts, financing scenarios and other documents concerning capital management', 'Assist in preparing operating and investment budgets', 'Prepare a regular risk profile for debt portfolios', 'Advise on and participate in the financial aspects of contracts and calls for tender', 'Prepare company, industry and economic outlooks, analytical reports, briefings notes and correspondence', 'Examine and analyze financial and investment information (profiles of companies, stock or bond prices, yields and future trends)', 'Collect financial and investment information about companies, stocks, bonds and other investments', 'Provide investment advice and recommendations to clients, senior company officials, pension fund managers, securities agents and associates']","['Management : Strategic Planning', 'Analysis : Analyzing Information', 'Analysis : Projecting Outcomes', 'Analysis : Researching and Investigating', 'Communication : Advising and Consulting', 'Communication : Liaising and Networking', 'Communication : Professional Communicating']","['Business, Finance and Management : Business  Administration', 'Business, Finance and Management : Economics', 'Business, Finance and Management : Finance']"
NOC 1213,"['Co-ordinate, assign and review work', 'Establish work schedules and procedures', 'Train workers in duties and policies', 'Prepare and submit reports', 'Ensure smooth operation of equipment', 'Resolve work related problems', 'Requisition or order materials, equipment and supplies', 'Arrange for maintenance and repair work', 'Co-ordinate activities with other work units or departments']","['Management : Co-ordinating and Organizing', 'Management : Supervising', 'Analysis : Planning', 'Analysis : Analyzing Information', 'Communication : Teaching and Training', 'Information Handling : Processing Information']","['Business, Finance and Management : Client  Service', 'Business, Finance and Management : Clerical', 'Communications and Transportation : Communications and Media']"
NOC 1221,"['Review, evaluate and implement new administrative procedures', 'Establish work priorities and ensure procedures are followed and deadlines are met', 'Carry out administrative activities of establishment', 'Administer policies and procedures related to the release of records in processing requests under government access to information and privacy legislation', 'Co-ordinate and plan for office services such as accommodation, relocation, equipment, supplies, forms, disposal of assets, parking, maintenance and security services', 'Assist in the preparation of operating budget and maintain inventory and budgetary controls', 'Assemble data and prepare periodic and special reports, manuals and correspondence', 'Oversee and co-ordinate office administrative procedures']","['Management : Allocating and Controlling Resources', 'Management : Co-ordinating and Organizing', 'Management : Supervising', 'Analysis : Analyzing Information', 'Analysis : Planning', 'Analysis : Projecting Outcomes', 'Information Handling : Managing Information']","['Business, Finance and Management : Business  Administration', 'Business, Finance and Management : Clerical', 'Law and Public Safety : Law, Government, and Jurisprudence']"
NOC 1223,"['Identify current and prospective staffing requirements', 'Prepare and post notices and advertisements', 'Collect and screen applicants', 'Advise job applicants on employment requirements and terms and conditions of employment', 'Review candidate inventories', 'Contact potential applicants to arrange interviews', 'Recruit graduates of colleges, universities and other educational institutions', 'Co-ordinate and participate in selection and examination boards to evaluate candidates', 'Notify applicants of results of selection process and prepare job offers', 'Advise managers and employees on staffing policies and procedures', 'Organize and administer staff consultation and grievance procedures', 'Negotiate settlements of appeals and disputes and co-ordinate termination of employment process', 'Determine eligibility to entitlements and arrange staff training', 'Provide information or services such as employee assistance, counselling and recognition programs', 'Supervise personnel clerks performing filing, typing and record-keeping duties']","['Management : Recruiting and Hiring', 'Management : Co-ordinating and Organizing', 'Management : Supervising', 'Analysis : Projecting Outcomes', 'Analysis : Analyzing Information', 'Communication : Liaising and Networking', 'Communication : Interviewing', 'Communication : Professional Communicating', 'Communication : Advising and Consulting', 'Communication : Negotiating and Adjudicating', 'Information Handling : Processing Information']","['Business, Finance and Management : Business  Administration', 'Business, Finance and Management : Personnel and Human Resources', 'Social Sciences and Arts : Psychology']"
NOC 1243,"['Interview patients to obtain case histories', 'Complete insurance and other claim forms', 'Arrange travel, related itineraries and make reservations', 'Determine and establish office procedures and routines', 'Supervise and train other staff in procedures and in use of current software', 'Initiate and maintain confidential medical files and records', 'Enter and format electronically based medical reports and correspondence and prepare spreadsheets and documents for review', 'Prepare draft agendas for meetings and take, transcribe and distribute minutes']","['Service and Care : Serving Others', 'Management : Co-ordinating and Organizing', 'Communication : Interviewing', 'Information Handling : Processing Information', 'Information Handling : Managing Information', 'Handling Goods and Materials : Sorting']","['Business, Finance and Management : Client  Service', 'Business, Finance and Management : Clerical', 'Social Sciences and Arts : Languages (English and French)']"
NOC 1411,"['Type and proofread correspondence, forms and other documents', 'Receive and forward telephone or electronic enquiries', 'Maintain and prepare reports from manual or electronic files, inventories, mailing lists and databases', 'Sort, process and verify applications, receipts and other documents', 'Process incoming and outgoing mail manually or electronically', 'Send and receive messages', 'Perform basic bookkeeping tasks', 'Prepare and format page presentation', 'Compile data, statistics and other information', 'Prepare invoices and bank deposits', 'Provide general information to clients and the public', 'Photocopy and collate documents for distribution, mailing and filing', 'Order office supplies and maintain inventory', 'Label files according to retention and disposal schedules', 'Prepare and monitor contracts and budgets', 'Store, update and retrieve financial data', 'File material in storage area', 'Organize and schedule office work', 'Label, file and retrieve documents', 'Locate and remove files requested']","['Service and Care : Serving Others', 'Information Handling : Processing Information', 'Handling Goods and Materials : Sorting']","['Business, Finance and Management : Client  Service', 'Business, Finance and Management : Clerical']"
NOC 9532,"['Prepare, sand and trim wooden furniture and fixture parts', 'Assemble wooden or metal furniture and fixture parts to form subassemblies and complete articles', 'Reinforce assembled furniture and fixtures with dowels or other supports', 'Install hardware on furniture and fixtures', 'Inspect furniture and fixture subassemblies and finished products for conformance to quality standards', 'Mark defective parts or products for repair', 'Make minor adjustments and repairs']","['Operating and Repairing Equipment, Machinery and Vehicles : Operating Stationary Industrial Equipment', 'Building : Constructing', 'Building : Restoring and Repairing', 'Analysis : Analyzing Information', 'Analysis : Inspecting and Testing', 'Information Handling : Processing Information']","['Engineering and Technology : Building and Construction', 'Manufacturing and Production : Processing and Production']"
NOC 9534,"['Set up and operate finishing machines or finish furniture by hand', 'Stain or finish wood to specified colour', 'Apply toners, highlights, glazes or shaders to obtain desired finish', 'Apply lacquer or other sealers', 'Decorate wood surfaces', 'Clean, polish and wax furniture', 'Sand metal furniture to prepare for finish and spray with paint or other materials', 'Strip old finish from wood surface', 'Smooth gouges with wood filler and sand wood', 'Make minor repairs to furniture']","['Operating and Repairing Equipment, Machinery and Vehicles : Operating Stationary Industrial Equipment', 'Building : Restoring and Repairing', 'Analysis : Analyzing Information', 'Analysis : Inspecting and Testing']","['Manufacturing and Production : Processing and Production', 'Mathematics and Science : Chemistry']"
NOC 9535,"['Operate machines or equipment or use hand tools to cut, shape, splice and fit plastic materials to form parts and assemblies', 'Assemble composite materials on patterns to form parts and assemblies', 'Inspect manufactured plastic products for defects and conformance to specifications and quality standards', 'Mark and re-route defective products for repair or recycle', 'Make minor adjustments or repairs to products']","['Operating and Repairing Equipment, Machinery and Vehicles : Operating Stationary Industrial Equipment', 'Building : Restoring and Repairing', 'Analysis : Inspecting and Testing', 'Information Handling : Processing Information', 'Handling Goods and Materials : Loading and Unloading', 'Handling Goods and Materials : Sorting']","['Manufacturing and Production : Processing and Production', 'Mathematics and Science : Chemistry']"
NOC 9415,"['Inspect products at various stages of processing to ensure adherence to specifications', 'Grade and label raw materials or finished products', 'Take samples of products during or after processing operation for routine analysis or for subsequent laboratory analysis', 'Test products for strength, density, durability and conformity to specifications']","['Analysis : Analyzing Information', 'Analysis : Inspecting and Testing', 'Information Handling : Processing Information', 'Handling Goods and Materials : Sorting']","['Manufacturing and Production : Processing and Production', 'Mathematics and Science : Chemistry']"
NOC 9422,"['Weigh resins, colorants and other chemicals according to formulae', 'Place weighed materials in mixing machines', 'Operate mixing machine to blend plastic and other chemicals to a specific consistency and viscosity', 'Unload mixture into container or conveyor for further processing', 'Set up and operate calender machines to transform plastic bales or slabs into continuous sheets or films of specified thickness', 'Adjust calender rollers for production line change', 'Set up and operate extruding machines to extrude plastic compound through a nozzle or die', 'Change dies on extruding machines according to production line change', 'Set up and operate one or more moulding machines to mould plastic products', 'Prepare and change moulds and adjust equipment for production line change', 'Follow formulation card to mix resin batches for injection moulding process', 'Trimming and sanding plastic or fiberglass parts']","['Operating and Repairing Equipment, Machinery and Vehicles : Mechanical Installing, Maintaining and Repairing', 'Operating and Repairing Equipment, Machinery and Vehicles : Operating Stationary Industrial Equipment', 'Analysis : Analyzing Information', 'Analysis : Inspecting and Testing', 'Information Handling : Processing Information', 'Handling Goods and Materials : Loading and Unloading', 'Handling Goods and Materials : Sorting']","['Manufacturing and Production : Processing and Production', 'Mathematics and Science : Chemistry']"
NOC 9613,"['Feed and unload production machinery and equipment', 'Clean chemical processing machines and equipment and production areas', 'Move, sort and pile materials and products', 'Assist in operation, repair and maintenance', 'Perform general labouring duties', 'Operate forklift']","['Service and Care : Cleaning and House/Shop Keeping', 'Operating and Repairing Equipment, Machinery and Vehicles : Mechanical Installing, Maintaining and Repairing', 'Operating and Repairing Equipment, Machinery and Vehicles : Operating Stationary Industrial Equipment', 'Handling Goods and Materials : Loading and Unloading', 'Handling Goods and Materials : Sorting']",['Manufacturing and Production : Processing and Production']
NOC 9614,"['Feed conveyors, hoppers, saws and drying machines', 'Load chips, sulphur and processing materials', 'Sort, pile and transport wood products', 'Remove scrap lumber and wood chips for reprocessing', 'Assist other processing workers', 'Clean machines and immediate work areas']","['Service and Care : Cleaning and House/Shop Keeping', 'Operating and Repairing Equipment, Machinery and Vehicles : Mechanical Installing, Maintaining and Repairing', 'Operating and Repairing Equipment, Machinery and Vehicles : Operating Stationary Industrial Equipment', 'Handling Goods and Materials : Sorting', 'Handling Goods and Materials : Loading and Unloading']",['Manufacturing and Production : Processing and Production']
NOC 9615,"['Assist machine operators or assemblers', 'Assist in setting up and dismantling equipment', 'Clean and lubricate machinery and equipment', 'Transport material and tools to and from work areas', 'Prepare raw materials for mixing process', 'Monitor machines to watch for jammed materials or defective products']","['Service and Care : Cleaning and House/Shop Keeping', 'Operating and Repairing Equipment, Machinery and Vehicles : Mechanical Installing, Maintaining and Repairing', 'Operating and Repairing Equipment, Machinery and Vehicles : Operating Stationary Industrial Equipment', 'Handling Goods and Materials : Sorting', 'Handling Goods and Materials : Loading and Unloading']",['Manufacturing and Production : Processing and Production']
NOC 9616,"['Load and off-load machines', 'Push carts, trucks or cans of fibres from one work area to another', 'Clean machines and immediate work areas', 'Assist machine operators and other textile workers as required']","['Service and Care : Cleaning and House/Shop Keeping', 'Operating and Repairing Equipment, Machinery and Vehicles : Operating Stationary Industrial Equipment', 'Handling Goods and Materials : Loading and Unloading', 'Handling Goods and Materials : Sorting']",['Manufacturing and Production : Processing and Production']
NOC 9617,"['Transport raw materials, finished products and packaging materials', 'Measure and dump ingredients into hoppers of mixing and grinding machines', 'Feed flattened boxes into forming machines to construct containers', 'Remove filled containers from conveyors', 'Manually pack goods into bags and boxes or other containers', 'Feed and unload processing machines', 'Check products and packaging for basic quality defects', 'Assist process control and machine operators in performing their duties', 'Clean machines and immediate work areas']","['Service and Care : Cleaning and House/Shop Keeping', 'Operating and Repairing Equipment, Machinery and Vehicles : Operating Mobile Equipment', 'Operating and Repairing Equipment, Machinery and Vehicles : Operating Stationary Industrial Equipment', 'Handling Goods and Materials : Loading and Unloading', 'Handling Goods and Materials : Sorting']",['Manufacturing and Production : Food Production and Agriculture']
NOC 9619,"['Transport raw materials, finished products and equipment throughout plant manually or using powered equipment', 'Check and weigh materials and products', 'Sort, pack, crate and package materials and products', 'Assist machine operators, assemblers and other workers', 'Perform other labouring and elemental activities', 'Clean machines and immediate work areas']","['Service and Care : Cleaning and House/Shop Keeping', 'Operating and Repairing Equipment, Machinery and Vehicles : Operating Stationary Industrial Equipment', 'Handling Goods and Materials : Loading and Unloading', 'Handling Goods and Materials : Sorting']",['Manufacturing and Production : Processing and Production']
NOC 6561,"['Advise clients on the selection of wedding gowns, floral arrangements, banquet facilities, wedding invitations and other items related to weddings', 'Advise clients on hair colour, hairstyles, make-up, clothing and accessories', 'Advise clients on type, colour and application of make-up', 'Administer commercial weight loss programs, advise clients on diet and exercise and provide related support services', 'Advise on posture, general appearance and manners', 'Advise clients on choice of colours for clothing that will complement their appearance']","['Service and Care : Serving Others', 'Management : Co-ordinating and Organizing', 'Analysis : Analyzing Information', 'Communication : Advising and Consulting', 'Communication : Promoting and Selling', 'Communication : Teaching and Training', 'Information Handling : Processing Information', 'Creative Expression : Designing']","['Business, Finance and Management : Sales', 'Business, Finance and Management : Client  Service']"
NOC 1431,"['Prepare general ledger', 'Prepare journal entry', 'Manage accounts receivable', 'Manage accounts payable', 'Prepare trial balance', 'Open and close books for auditors', 'Prepare bank reconciliations', 'Conduct banking', 'Prepare payroll', 'Invoice clients', 'Conduct credit and collections', 'Assess fixed assets and depreciation', 'Costing and budgeting', 'Prepare income tax', 'Freight rating', 'Perform foreign currency exchange', 'Store, update and retrieve financial data', 'Perform clerical duties, such as maintain filing and record systems', 'Perform general office duties', 'Organize and maintain inventory', 'Prepare reports', 'Prepare financial statements and reports', ""Address customers' complaints or concerns""]","['Service and Care : Serving Others', 'Information Handling : Processing Information', 'Handling Goods and Materials : Sorting']","['Business, Finance and Management : Accounting', 'Business, Finance and Management : Clerical', 'Business, Finance and Management : Finance']"
NOC 6563,"['Bathing/shampooing', 'Anal glands treatment', 'Pet clipping and styling', 'Ear cleaning', 'Flea baths', 'Nail clipping', 'Show clipping', 'Teeth cleaning', 'Prepare food and feed animals', 'Clean and disinfect cages, pens, aquariums, kennels, runs, stall and enclosures', 'Assist with inoculation and treatment of animals', 'Assist animal breeders to handle and nurture animals', 'Assist zoo and wildlife workers in transferring, restraining, crating and uncrating animals', 'Assist researchers in conducting laboratory tests with animals', 'Monitor and document animal behaviour']","['Service and Care : Cleaning and House/Shop Keeping', 'Service and Care : Treating People/Animals', 'Service and Care : Tending to Daily Needs', 'Service and Care : Serving Others', 'Communication : Teaching and Training', 'Information Handling : Processing Information']","['Business, Finance and Management : Client  Service', 'Mathematics and Science : Biology', 'Mathematics and Science : Chemistry']"
NOC 6622,"['Bag, box or parcel purchases for customers, for shipment or delivery', ""Carry customer's purchases to parking lot and pack orders in customers' vehicles"", 'Obtain articles for customers from shelf or stockroom', 'Direct customers to location of articles sought', 'Unpack products received by store and count, weigh or sort items', 'Maintain computerized stock inventory', 'Order stock', 'Record incoming stock', 'Stock shelves and display areas', 'Keep stock clean and in order', 'Price items using stamp or stickers according to price list', 'Attach protective devices to products to protect against shoplifting', 'Fill mail or electronic orders from warehouse stock', 'Perform general cleaning duties (i.e. sweeping, mopping floors)', 'Operate computer for electronic commerce transactions', 'Operate cash register', 'Operate electric palette jack', 'Operate forklift', 'Provide customer service', 'Order picking']","['Service and Care : Cleaning and House/Shop Keeping', 'Service and Care : Serving Others', 'Information Handling : Processing Information', 'Handling Goods and Materials : Loading and Unloading', 'Handling Goods and Materials : Sorting']","['Business, Finance and Management : Client  Service']"
NOC 6731,"['Sweep, mop, wash and polish floors', 'Dust furniture', 'Vacuum carpeting, area rugs, draperies and upholstered furniture', 'Make beds and change sheets', 'Distribute clean towels and toiletries', 'Stock linen closet', 'Clean, disinfect and polish kitchen and bathroom fixtures and appliances', 'Disinfect operating rooms and other areas', 'Clean and disinfect elevators', 'Handle and report lost and found items', ""Attend to guests' requests for extra supplies or other items"", 'Provide basic information on facilities', 'Pick up debris and empty trash containers', 'Wash windows, walls and ceilings', 'Clean changing rooms and showers', ""Address customers' complaints or concerns""]","['Service and Care : Cleaning and House/Shop Keeping', 'Service and Care : Serving Others', 'Information Handling : Processing Information', 'Handling Goods and Materials : Sorting', 'Handling Goods and Materials : Loading and Unloading']","['Business, Finance and Management : Client  Service', 'Law and Public Safety : Public Safety and Security']"
NOC 6732,"['Operate cleaning machines', 'Clean soot and creosote from chimneys and fire places', 'Clean ducts, vents and filters of furnaces', 'Clean building exterior, tanks, chimneys and industrial equipment', 'Clean interior and exterior of motor vehicles', 'Wash and clean interior and exterior windows and other glass surfaces', 'Vacuum floors', 'Wax and polish floors', 'Shampoo upholstery', 'Provide customer service']","['Working with Technological Equipment and Machinery : Using Specialized Instrumentation and Equipment', 'Service and Care : Cleaning and House/Shop Keeping', 'Service and Care : Serving Others', 'Information Handling : Processing Information']","['Business, Finance and Management : Client  Service', 'Law and Public Safety : Public Safety and Security']"
NOC 6733,"['Sweep, mop, scrub and wax hallways, floors and stairs', 'Operate industrial vacuum cleaners to remove scraps, dirt, heavy debris and other refuse', 'Empty trash cans and other waste containers', 'Wash windows, interior walls and ceilings', 'Make adjustments and minor repairs to heating, cooling, ventilation, plumbing and electrical systems, and contact tradespersons for major repairs', 'Perform minor repairs on appliances', 'Move heavy furniture, equipment and supplies', 'Perform other routine maintenance jobs such as painting and drywall repair', 'Water and tend to plants, lawns and/or gardens', 'Clean and disinfect bathrooms and fixtures', 'Work with minimal supervision', 'Clean snow and ice from walkways and parking areas']","['Service and Care : Cleaning and House/Shop Keeping', 'Service and Care : Serving Others', 'Management : Supervising', 'Building : Finishing Building Interior/Exterior', 'Building : Restoring and Repairing', 'Information Handling : Processing Information', 'Handling Goods and Materials : Loading and Unloading']","['Business, Finance and Management : Client  Service', 'Business, Finance and Management : Sales', 'Engineering and Technology : Mechanics and Machinery', 'Law and Public Safety : Public Safety and Security']"
NOC 7203,"['Supervise workers and projects', 'Train or arrange for training', 'Manage own company', 'Recommend personnel actions', 'Co-ordinate and schedule activities', 'Ensure health and safety regulations are followed', 'Requisition or order materials, equipment and supplies', 'Establish methods to meet work schedules and co-ordinate work activities with other work units', 'Resolve work problems and recommend measures to improve productivity']","['Service and Care : Protecting and Enforcing', 'Management : Co-ordinating and Organizing', 'Management : Supervising', 'Analysis : Planning', 'Analysis : Analyzing Information', 'Communication : Advising and Consulting', 'Communication : Teaching and Training', 'Information Handling : Processing Information']","['Business, Finance and Management : Business  Administration', 'Business, Finance and Management : Personnel and Human Resources', 'Engineering and Technology : Mechanics and Machinery', 'Engineering and Technology : Building and Construction', 'Law and Public Safety : Public Safety and Security']"
NOC 7204,"['Supervise workers and projects', 'Co-ordinate and schedule activities', 'Train or arrange for training', 'Manage own company', 'Set up equipment', 'Ensure health and safety regulations are followed', 'Recommend personnel actions', 'Requisition or order materials, equipment and supplies', 'Establish methods to meet work schedules', 'Read blueprints and drawings', 'Resolve work problems and recommend measures to improve productivity', 'Requisition materials and supplies']","['Service and Care : Protecting and Enforcing', 'Management : Co-ordinating and Organizing', 'Management : Recruiting and Hiring', 'Management : Supervising', 'Analysis : Analyzing Information', 'Analysis : Planning', 'Analysis : Projecting Outcomes', 'Communication : Teaching and Training', 'Information Handling : Processing Information']","['Business, Finance and Management : Business  Administration', 'Business, Finance and Management : Client  Service', 'Engineering and Technology : Building and Construction', 'Law and Public Safety : Public Safety and Security']"
NOC 113,"['Plan, develop and implement purchasing policies and procedures', 'Assign, co-ordinate and review projects and programs', 'Oversee the evaluation of the cost and quality of goods or services', 'Authorize the development of specifications for products or services', 'Manage contracts', 'Review and process claims against suppliers', 'Oversee the analysis of data and information', 'Oversee the preparation of reports', 'Advise senior management', 'Plan, organize, direct, control and evaluate daily operations']","['Management : Recruiting and Hiring', 'Management : Co-ordinating and Organizing', 'Management : Allocating and Controlling Resources', 'Management : Evaluating', 'Analysis : Planning', 'Analysis : Projecting Outcomes', 'Analysis : Analyzing Information', 'Communication : Liaising and Networking', 'Communication : Interviewing', 'Communication : Negotiating and Adjudicating']","['Business, Finance and Management : Business  Administration']"
NOC 121,"['Establish and implement policies and procedures', 'Assign, co-ordinate and review projects and programs', 'Plan and direct market research studies', 'Oversee the preparation of reports', 'Advise senior management', 'Manage contracts', 'Oversee the collection and analysis of data and information', 'Plan and direct advertising and marketing campaigns', 'Plan, organize, direct, control and evaluate daily operations', 'Plan, direct and monitor activities of sales department', ""Address customers' complaints or concerns""]","['Management : Co-ordinating and Organizing', 'Management : Evaluating', 'Management : Recruiting and Hiring', 'Management : Strategic Planning', 'Analysis : Planning', 'Analysis : Projecting Outcomes', 'Communication : Advising and Consulting', 'Communication : Liaising and Networking', 'Communication : Negotiating and Adjudicating', 'Communication : Promoting and Selling']","['Business, Finance and Management : Business  Administration', 'Business, Finance and Management : Client  Service', 'Business, Finance and Management : Economics', 'Business, Finance and Management : Finance', 'Business, Finance and Management : Sales', 'Law and Public Safety : Law, Government, and Jurisprudence']"
NOC 132,"['Authorize delivery routes', 'Oversee the receiving, sorting, routing and delivery of mail', 'Oversee the selection, operation and maintenance of vehicles and equipment', 'Oversee the preparation of reports', 'Advise senior management', 'Plan, organize, direct, control and evaluate daily operations', ""Address customers' complaints or concerns"", 'Oversee the analysis of data and information']","['Management : Allocating and Controlling Resources', 'Management : Co-ordinating and Organizing', 'Management : Evaluating', 'Management : Recruiting and Hiring', 'Analysis : Analyzing Information', 'Analysis : Planning', 'Analysis : Projecting Outcomes', 'Communication : Interviewing', 'Communication : Teaching and Training']","['Business, Finance and Management : Business  Administration', 'Communications and Transportation : Transportation']"
NOC 7311,"['Detect and troubleshoot irregularities and malfunctions', 'Construct foundations for machinery', 'Repair or replace defective machinery parts', 'Fabricate parts required during overhaul, maintenance or set-up', 'Perform routine maintenance work on machinery', 'Operate machining tools to fabricate parts', 'Program programmable logic controllers (PLCs)', 'Operate hoisting and lifting equipment', 'Installing machinery and equipment', 'Assembling machinery and equipment (prior to installation)']","['Operating and Repairing Equipment, Machinery and Vehicles : Mechanical Installing, Maintaining and Repairing', 'Operating and Repairing Equipment, Machinery and Vehicles : Operating Stationary Industrial Equipment', 'Building : Constructing', 'Analysis : Analyzing Information', 'Analysis : Examining and Diagnosing', 'Analysis : Inspecting and Testing']","['Engineering and Technology : Mechanics and Machinery', 'Manufacturing and Production : Processing and Production']"
NOC 7321,"['Inspect and test mechanical units to locate faults and malfunctions', 'Diagnose faults and malfunctions and confirm findings with supervisor to determine whether to repair or replace unit', 'Repair or replace mechanical units or components', 'Test and adjust units to specifications', 'Complete reports to record problems and work performed', 'Inspect motor in operation, road test motor vehicles and test automotive systems and components', 'Adjust, repair or replace parts and components of automotive systems', ""Test and adjust repaired systems to manufacturer's specifications"", 'Perform scheduled maintenance service', 'Advise customers on work performed and future repair requirements', 'Review work orders and discuss work with supervisor', 'Adjust, repair or replace parts and components of commercial transport truck systems', 'Adjust, repair or replace parts and components of truck-trailer systems', ""Test and adjust repaired systems to manufacturer's specifications"", 'Perform scheduled maintenance service']","['Working with Technological Equipment and Machinery : Using Specialized Instrumentation and Equipment', 'Operating and Repairing Equipment, Machinery and Vehicles : Mechanical Installing, Maintaining and Repairing', 'Analysis : Analyzing Information', 'Analysis : Examining and Diagnosing', 'Analysis : Inspecting and Testing', 'Analysis : Projecting Outcomes', 'Information Handling : Processing Information']","['Engineering and Technology : Electricity (Electrical and Electronics)', 'Engineering and Technology : Mechanics and Machinery', 'Law and Public Safety : Public Safety and Security']"
NOC 7334,"['Inspect and test engines to diagnose and isolate faults', 'Adjust, repair or replace mechanical or electrical system parts', 'Perform scheduled maintenance and service', 'Advise customers on work performed and condition of equipment', 'Repair and rebuild hoisting mechanism and other mechanical systems on industrial trucks and forklifts', 'Test and adjust repaired equipment for proper performance', 'Review work orders and discuss work with supervisor']","['Service and Care : Serving Others', 'Operating and Repairing Equipment, Machinery and Vehicles : Mechanical Installing, Maintaining and Repairing', 'Analysis : Inspecting and Testing', 'Analysis : Examining and Diagnosing', 'Analysis : Projecting Outcomes', 'Analysis : Analyzing Information']","['Business, Finance and Management : Client  Service', 'Engineering and Technology : Mechanics and Machinery', 'Engineering and Technology : Electricity (Electrical and Electronics)', 'Law and Public Safety : Public Safety and Security']"
NOC 6345,"['Replace worn-out webbing, springs and other furniture parts', 'Lay out, cut, fabricate and install upholstery', 'Tack, glue or sew ornamental trim, braids or buttons', 'Discuss upholstery fabric, colour, and style with customers and provide cost estimate', 'Repair furniture frames and refinish wood surfaces', 'Operate sewing machines or sew by hand', 'Garnish the bottom and the back of a seat with interoven rattan']","['Operating and Repairing Equipment, Machinery and Vehicles : Operating Stationary Industrial Equipment', 'Building : Constructing', 'Building : Restoring and Repairing', 'Analysis : Analyzing Information', 'Analysis : Planning', 'Analysis : Projecting Outcomes', 'Information Handling : Processing Information']","['Business, Finance and Management : Client  Service', 'Engineering and Technology : Building and Construction', 'Manufacturing and Production : Processing and Production']"
NOC 7373,"['Drill, bore and dig for water wells', 'Install well screens, casings and other well fixtures', 'Perform routine maintenance work on water well drilling rigs and equipment', 'Install, test, maintain and repair water well pumps, piping systems and equipment', 'Perform pumping tests to assess well performance', 'Drill elevator shafts', 'Drill hydro poles', 'Install, test, maintain and repair piping systems', 'Review client requirements and proposed locations for water wells']","['Operating and Repairing Equipment, Machinery and Vehicles : Mechanical Installing, Maintaining and Repairing', 'Operating and Repairing Equipment, Machinery and Vehicles : Operating Stationary Industrial Equipment', 'Operating and Repairing Equipment, Machinery and Vehicles : Operating Mobile Equipment', 'Management : Supervising', 'Building : Constructing', 'Analysis : Inspecting and Testing', 'Analysis : Analyzing Information', 'Information Handling : Processing Information']","['Business, Finance and Management : Client  Service', 'Engineering and Technology : Mechanics and Machinery', 'Law and Public Safety : Public Safety and Security', 'Social Sciences and Arts : Geography']"
NOC 7521,"['Operate heavy equipment', 'Clean and lubricate equipment and refill equipment tanks', 'Operate computer controlled equipment', 'Conduct pre-operational checks on equipment', 'Secure special attachments to equipment', 'Operate two-way radios and other communication equipment', 'Perform minor repairs to equipment', 'Operate hydraulic pumping systems', 'John Deere controls']","['Operating and Repairing Equipment, Machinery and Vehicles : Mechanical Installing, Maintaining and Repairing', 'Operating and Repairing Equipment, Machinery and Vehicles : Operating Mobile Equipment', 'Building : Constructing', 'Information Handling : Processing Information', 'Handling Goods and Materials : Loading and Unloading']","['Engineering and Technology : Mechanics and Machinery', 'Law and Public Safety : Public Safety and Security']"
