link,description,duties,titles,related_occupations
/15962/ca,"Economists and economic policy researchers and analysts conduct research, monitor data, analyze information and prepare reports and plans to resolve economic and business problems and develop models to analyze, explain and forecast economic behaviour and patterns. They advise on matters such as finance, fiscal and monetary policy, international trade, agricultural and natural resource commodities and labour and industrial markets. They are employed by government departments and agencies and throughout the private sector in associations, unions, research organizations, banks and investment firms.","['Conduct research and develop models to analyze, explain and forecast economic behaviour and patterns, and devise methods for collection and analysis of data', 'Forecast production and consumption of specific products and services based on records of past production and consumption and general economic and industry-specific conditions', 'Prepare forecasts of income and expenditure, interest rates and exchange rates', 'Analyze factors which determine economic growth and advise government agencies on policies to increase economic activities', 'Analyze factors which determine labour force participation, employment, wages, unemployment and other labour market outcomes', 'Study mathematical formulae and statistical techniques and apply them to the testing and quantifying of economic theories and the solution of economic problems', 'Study the nature of money, credit and the operation of banks and other financial institutions to develop monetary policies and forecasts of financial activity', 'Monitor economic data to assess the effectiveness, and advise on the appropriateness, of monetary and fiscal policies', 'Examine problems related to the economic activity of individual companies', 'Examine financial methods, production costs and techniques and marketing policies to recommend possible improvements', 'Examine statistical data on the exchange of goods and services among nations', 'Forecast production and consumption of renewable resources and supply, consumption and depletion of non-renewable resources', 'Conduct research on market conditions in local, regional or national area to set sales and pricing levels for goods and services, to assess market potential and future trends and to develop business strategies', 'Monitor regional and local economic trends', 'Study regulatory processes and provide material in support of legal proceedings with government and other parties.']","['agricultural economist', 'economic analyst', 'economist, natural resources', 'financial economist', 'industrial economist', 'international trade economist', 'investment economist', 'trade economist', 'economic advisor', 'tax economist', 'economic policy analyst', 'labour economist', 'energy economist', 'economist']","['University professors and lecturers', 'Business development officers and marketing researchers and consultants', 'Social policy researchers, consultants and program officers', 'Government managers - economic analysis, policy development and program administration', 'Financial and investment analysts']"
/6175/ca,"Insurance agents and brokers sell life, automobile, property, health and other types of insurance to individuals, businesses and public institutions. Insurance agents are employed by individual insurance companies or are independent representatives of specific insurance companies. Insurance brokers are employed by brokerage firms, or may work in partnerships or hold sole proprietorship. Supervisors of insurance agents are included in this unit group.","['Sell automobile, fire, health, life, property, marine, aircraft and other types of insurance to clients', 'Establish client insurance coverage, calculate premiums and establish method of payment', 'Provide information concerning group and individual insurance packages, the range of risk coverage, benefits paid and other policy features', 'Ensure appropriate forms, medical examinations and other policy requirements are completed', ""Monitor insurance claims and respond to clients' enquiries"", 'Identify and solicit potential clientele.']","['insurance agent', 'insurance broker', 'insurance sales representative', 'insurance sales supervisor']","['Supervisors, finance and insurance office workers', 'Insurance underwriters', 'Insurance, real estate and financial brokerage managers']"
/24325/ca,"Construction managers plan, organize, direct, control and evaluate the activities of a construction company or a construction department within a company, under the direction of a general manager or other senior manager. They are employed by residential, commercial and industrial construction companies and by construction departments of companies outside the construction industry.","['Plan, organize, direct, control and evaluate construction projects from start to finish according to schedule, specifications and budget', 'Prepare and submit construction project budget estimates', 'Plan and prepare construction schedules and milestones and monitor progress against established schedules', 'Prepare contracts and negotiate revisions, changes and additions to contractual agreements with architects, consultants, clients, suppliers and subcontractors', 'Develop and implement quality control programs', 'Represent company on matters such as business services and union contracts negotiation', 'Prepare progress reports and issue progress schedules to clients', 'Direct the purchase of building materials and land acquisitions', 'Hire and supervise the activities of subcontractors and subordinate staff.']","['commercial construction manager', 'industrial construction manager', 'project manager, construction', 'construction superintendent', 'general contractor', 'housing construction manager', 'pipeline construction manager', 'residential construction manager', 'construction manager']","['Home building and renovation managers', 'Senior managers - construction, transportation, production and utilities']"
/1575/ca,"Court reporters record and transcribe verbatim the proceedings of courts, legislative assemblies and committees, and prepare transcripts for use by judges, tribunals and quasi-judicial panels. They are employed by courts of law, provincial and federal legislative assemblies and committees, or they may be self-employed. Medical transcriptionists record, transcribe and edit dictation by physicians and other health care providers, surgical proceedings, health-related reports and other medical documentation. They are employed by hospitals, medical clinics and doctors' offices, or they may be self-employed. Closed captioners and other transcriptionists are included in this unit group.","['Court reporters', 'Record verbatim proceedings of courtroom using electronic stenograph machine or stenomask', 'Respond to requests during court sessions to read back verbatim evidence', 'Transcribe recorded proceedings in accordance with established formats', 'Verify accuracy of transcripts by checking copy against original record of proceedings and accuracy of rulings by checking with judge', 'Research and locate quotes to ensure accuracy', 'Respond to requests for transcripts ordered by judges, lawyers or the public', 'File and store shorthand notes of court session.', 'Medical transcriptionists', 'Transcribe recorded dictation in accordance with established formats or written documentation from medical reports, correspondence, health records and patient information', 'Proofread work for typographical and grammatical errors', 'Edit transcripts for missing or incorrect content and formatting.']","['closed captioner', 'Hansard reporter', 'medical transcriptionist', 'transcriptionist', 'court reporter']","['Legal administrative assistants', 'Medical administrative assistants']"
/18196/ca,"Community pharmacists and hospital pharmacists compound and dispense prescribed pharmaceuticals and provide consultative services to both clients and health care providers. They are employed in retail and health centre pharmacies, or they may be self-employed. Industrial pharmacists participate in the research, development, promotion and manufacture of pharmaceutical products. They are employed in pharmaceutical companies and government departments and agencies.","['Community pharmacists and hospital pharmacists', 'Check prescriptions for proper dosage', 'Compound prescribed pharmaceutical products by calculating, measuring and mixing the quantities of drugs and other ingredients required and filling appropriate containers with correct quantity', 'Dispense prescribed pharmaceuticals to customers or to other health care professionals and advise them on indications, contra-indications, adverse effects, drug interactions and dosage', 'Maintain medication profiles of customers including registry of poisons and narcotic and controlled drugs', 'Ensure proper preparation, packaging, distribution and storage of vaccines, serums, biologicals and other drugs and pharmaceuticals', 'Order and maintain stock of pharmaceutical supplies', 'Advise customers on selection and use of non-prescription medication', 'Renew existing prescriptions in limited circumstances', 'May adapt the formulation, regimen, duration or route of administration of medication', 'May supervise and co-ordinate the activities of other pharmacists, pharmacy assistants, pharmacy technicians and other staff.', 'Industrial pharmacists', 'Participate in research for the development of new drugs', 'Formulate new drug products developed by medical researchers', 'Test new drug products for stability and to determine absorption and elimination patterns', 'Co-ordinate clinical investigations of new drugs', 'Control the quality of drug products during production to ensure that they meet standards of potency, purity, uniformity, stability and safety', 'Develop information materials concerning the uses, properties and risks of particular drugs', 'Evaluate labelling, packaging and advertising of drug products', 'Promote pharmaceutical products to health professionals.']","['clinical pharmacist', 'community pharmacist', 'pharmacist', 'hospital pharmacist', 'industrial pharmacist', 'retail pharmacist']","['Managers in health care', 'Biologists and related scientists', 'Other medical technologists and technicians (except dental health)', 'Other assisting occupations in support of health services', 'Technical sales specialists - wholesale trade', 'Retail and wholesale trade managers', 'Chemists']"
/24813/ca,"Professional occupations in advertising, marketing and public relations includes professionals in advertising, marketing and public relations who analyse, develop and implement communication and promotion strategies and information programs, analyse advertising needs and develop appropriate advertising and marketing plans, publicize activities and events, and maintain media relations on behalf of businesses, governments and other organizations, and for performers, athletes, writers and other talented individuals. They are employed by consulting firms, advertising agencies, corporations, associations, government, social agencies, museums, galleries, public interest groups, and cultural and other organizations, or they may be self-employed. Agents such as entertainment, literary and sports agents are included in this unit group.","['Assess characteristics of products or services to be promoted and advise on the advertising needs of an establishment', 'Advise clients on advertising or sales promotion strategies', 'Develop and implement advertising campaigns appropriate for print or electronic media', 'Gather, research and prepare communications material for internal and external audiences', 'Develop, implement and evaluate communications strategies and programs designed to inform clients, employees and the general public of initiatives and policies of businesses, governments and other organizations', 'Conduct public opinion and attitude surveys to identify the interests and concerns of  key groups served by their organization', 'Prepare or oversee preparation of reports, briefs, bibliographies, speeches, presentations, Web sites and press releases', 'Develop and organize workshops, meetings, ceremonies and other events for publicity, fundraising and information purposes', 'Prepare and deliver educational and publicity programs and informational materials to increase awareness of museums, galleries and other tourist attractions', 'Initiate and maintain contact with the media', 'Arrange interviews and news conferences', 'Act as spokesperson for an organization and answer written and oral inquiries', 'Co-ordinate special publicity events and promotions for internal and external audiences', 'Assist in the preparation of brochures, reports, newsletters and other material', 'Represent and act as an agent for talented individuals or individuals with specific occupational expertise', 'Prepare or oversee preparation of sports, literary, performance or other contracts.', 'Literary agents specialize in representing specific types of authors and writers. Performance agents specialize in representing singers, musicians, actors or other performers. Sports agents specialize in representing specific athletes or sports teams.']","['event marketing specialist', 'advertising consultant', 'communications specialist', 'fundraising consultant', 'information officer', 'media co-ordinator', 'media relations officer', 'public relations officer', 'public affairs officer', 'public relations consultant', 'publicist', 'publicity agent', 'press secretary', 'performers agent', 'museum educator', 'literary agent', 'communication officer (except emergency services)']","['Business development officers and marketing researchers and consultants', 'Conference and event planners', 'Advertising, marketing and public relations managers', 'Authors and writers']"
/6279/ca,"Firefighters carry out firefighting and fire prevention activities, and assist in other emergencies. They are employed by municipal, provincial and federal governments and by large industrial establishments that have internal firefighting services.","['Respond to fire alarms and other calls for assistance, such as automobile and industrial accidents, bomb threats and other emergencies', 'Rescue victims from burning buildings and accident sites', 'Control and extinguish fires using manual and power equipment, such as axes, water hoses, aerial ladders and hydraulic equipment and various firefighting chemicals', 'Administer first aid and other assistance', 'Ensure proper operation and maintenance of firefighting equipment', 'Prepare written reports on fire incidents', 'Inform and educate the public on fire prevention', 'Train to maintain high level of physical fitness', 'Assist the public, the police and emergency organizations during times of major disasters', 'May participate as members of a trauma or emergency response team and provide paramedical aid to accident victims or ill persons', 'May supervise and co-ordinate the work of other firefighters', 'May conduct building inspections to ensure compliance with fire code.']","['airport firefighter', 'fire captain', 'lieutenant, firefighters', 'firefighter', 'firefighter, shipboard', 'industrial firefighter']","['Fire chiefs and senior firefighting officers', 'Paramedical occupations', 'Silviculture and forestry workers']"
/1225/ca,"Financial managers plan, organize, direct, control and evaluate the operation of financial and accounting departments. They develop and implement the financial policies and systems of establishments. Financial managers establish performance standards and prepare various financial reports for senior management. They are employed in financial and accounting departments in companies throughout the private sector and in government.","['Plan, organize, direct, control and evaluate the operation of an accounting, audit or other financial department', 'Develop and implement the financial policies, systems and procedures of an establishment', 'Prepare or co-ordinate the preparation of financial statements, summaries, and other cost-benefit analyses and financial management reports', 'Co-ordinate the financial planning and budget process, and analyze and correct estimates', 'Supervise the development and implementation of financial simulation models', 'Evaluate financial reporting systems, accounting procedures and investment activities and make recommendations for changes to procedures, operating systems, budgets and other financial control functions to senior managers and other department or regional managers', 'Recruit, organize, train and manage staff', 'Act as liaison between the organization and its shareholders, the investing public and external financial analysts', 'Establish profitability standards for investment activities and handle mergers and/or acquisitions', ""Notify and report to senior management concerning any trends that are critical to the organization's financial performance.""]","['controller - financial services', 'director of accounting', 'financial administrator', 'director - financial services', 'finance director', 'manager, financial control', 'manager, internal audit services', 'manager, financial planning and analysis', 'treasurer']","['Senior managers - financial, communications and other business services', 'Other business services managers', 'Banking, credit and other investment managers']"
/16455/ca,"Bartenders mix and serve alcoholic and non-alcoholic beverages. They are employed in restaurants, hotels, bars, taverns, private clubs, banquet halls and other licensed establishments. Supervisors of bartenders are included in this unit group.","['Take beverage orders from serving staff or directly from patrons', 'Mix liquor, soft drinks, water and other ingredients to prepare cocktails and other drinks', 'Prepare mixed drinks, wine, draft or bottled beer and non-alcoholic beverages for food and beverage servers or serve directly to patrons', 'Collect payment for beverages and record sales', 'Maintain inventory and control of bar stock and order supplies', 'Clean bar area and wash glassware', 'Ensure compliance with provincial/territorial liquor legislation and regulations', 'May train and supervise other bartenders and bar staff', 'May hire and dismiss staff.']","['bartender', 'head bartender', 'bar steward', 'bar attendant']","['Restaurant and food service managers', 'Food and beverage servers']"
/21211/ca,"Program leaders and instructors in recreation, sport and fitness lead and instruct groups and individuals in recreational, sports, fitness or athletic programs. They are employed by community centres, sports and fitness clubs, outdoor centres, resorts, recreational facilities, health care facilities, retirement homes, correctional institutions, government departments, private businesses, tourism associations and similar establishments.","['Plan and carry out recreational, athletic, fitness and sports activities', 'Assemble supplies and sports and game equipment', 'Demonstrate and instruct athletic, fitness or sports activities and techniques', 'Instruct groups and individuals in arts, crafts and similar activities and lead groups and individuals in recreational or leisure programs', 'Attend to clients with special needs', 'Provide lifestyle awareness information', 'Conduct therapeutic recreational or athletic activities', 'Monitor recreational, sports or fitness activities to ensure safety and provide emergency or first aid assistance when required', 'Enforce safety rules and regulations', 'Assist with co-ordination of special events', 'Schedule activities, keep logs, maintain records and prepare reports', 'May train and supervise staff', 'May maintain and repair sports equipment.']","['recreation technician', 'lifeguard', 'day camp leader', 'camp counsellor', 'riding instructor', 'fitness instructor', 'aerobics instructor', 'swimming instructor - sports', 'recreation program leader', 'ski instructor', 'playground worker', 'ski patrol', 'gymnastics teacher', 'fitness appraiser', 'certified personal trainer', 'personal trainer']","['Recreation, sports and fitness program and service directors', 'Recreation, sports and fitness policy researchers, consultants and program officers', 'Other instructors']"
/4383/ca,"Licensed practical nurses provide nursing care usually under the direction of medical practitioners, registered nurses or other health team members. Operating room technicians prepare patients and provide assistance to medical practitioners prior to and during surgery. Licensed practical nurses are employed in hospitals, nursing homes, extended care facilities, rehabilitation centres, doctors' offices, clinics, companies, private homes and community health centres. Operating room technicians are employed in hospitals.","['Licensed practical nurses', 'Provide nursing services, within defined scope of practice, to patients based on patient assessment and care planning procedures', 'Perform nursing interventions such as taking vital signs, applying aseptic techniques including sterile dressing, ensuring infection control, monitoring nutritional intake and conducting specimen collection', 'Administer medication and observe and document therapeutic effects', 'Provide pre-operative and post-operative personal and comfort care', 'Monitor established respiratory therapy and  intravenous therapy', ""Monitor patients' progress, evaluate and document effectiveness of nursing interventions and collaborate with appropriate members of health care team"", 'Provide safety and health education to individuals and their families.', 'Operating room technicians', ""Prepare patients for surgery by washing, shaving and sterilizing the patients' operative areas"", 'Assist in surgery by laying out instruments, setting up equipment, assisting surgical teams with gowns and gloves and passing instruments to surgeons', ""Monitor patients' status during surgery, such as intake, output and loss of blood, and communicate and document any changes"", 'Clean and sterilize the operating room and instruments.']","['graduate nursing assistant', 'operating room technician', 'licensed practical nurse (L.P.N.)', 'registered nursing assistant (R.N.A.)']","['Nurse aides, orderlies and patient service associates', 'Home support workers, housekeepers and related occupations']"
/2139/ca,"Home building managers own, operate and manage companies engaged in the construction of new residential homes. Home renovation managers own, operate and manage companies engaged in the renovation of existing residential homes.","['Plan, organize, direct, control and evaluate the activities of a residential home building or renovating company', 'Prepare bids for home construction or renovation projects', 'Consult with customers, architects and engineers regarding plans and specifications', 'Select, hire and supervise trade subcontractors to do specialized work, such as plumbing, heating and electrical work', 'Plan and prepare work schedules and co-ordinate the activities of subcontractors', 'Inspect work performed by subcontractors to ensure quality and conformity with plans and specifications', 'Prepare and maintain a directory of suppliers and trade subcontractors', ""Develop and implement marketing and advertising strategies to promote company's products and services"", 'May perform carpentry or other trade work during home construction or renovation activities.']","['contractor, home renovation', 'contractor, residential homes', 'home builder', 'home renovator', 'renovation contractor']","['Senior managers - construction, transportation, production and utilities', 'Construction managers']"
/22437/ca,"Industrial and manufacturing engineers conduct studies, and develop and supervise programs to achieve the best use of equipment, human resources, technology, materials and procedures to enhance efficiency and productivity. They are employed in consulting firms, manufacturing and processing companies, in government, financial, health care and other institutions, or they may be self-employed.","['Plan and design plant layouts and facilities', 'Study new machinery and facilities and recommend or select efficient combinations', 'Develop flexible or integrated manufacturing systems and procedures', 'Conduct studies and implement programs to determine optimum inventory levels for production and to allow optimum utilization of machinery, materials and resources', 'Analyze costs of production', 'Design, develop and conduct time studies and work simplification programs', 'Determine human resource and skill requirements and develop training programs', 'Develop performance standards, evaluation systems and wage and incentive programs', 'Conduct studies of the reliability and performance of plant facilities and production or administrative systems', 'Develop maintenance standards, schedules and programs', 'Establish programs and conduct studies to enhance industrial health and safety or to identify and correct fire and other hazards', 'Evaluate or assess industrial facilities', 'Supervise technicians, technologists, analysts, administrative staff and other engineers.']","['engineer, computer integrated manufacturing (CIM)', 'industrial engineer', 'fire prevention engineer', 'manufacturing engineer', 'plant engineer', 'production engineer', 'quality control engineer', 'safety engineer', 'work measurement engineer']","['Engineering managers', 'Professional occupations in business management consulting', 'Mechanical engineers', 'Computer engineers (except software engineers and designers)', 'Metallurgical and materials engineers']"
/4138/ca,"Dietitians and nutritionists plan, implement and oversee nutrition and food service programs. They are employed in a variety of settings including hospitals, home health-care agencies and extended care facilities, community health centres, the food and beverage industry, educational institutions, and government and sports organizations, or they may work as private consultants.","['Develop, administer and supervise nutrition and food preparation and service programs in hospitals, nursing homes, schools, company cafeterias or similar settings', 'Provide nutrition guidance, label interpretation and consultation services to health professionals, individuals, dietetic interns, community groups, government and the media', 'Evaluate nutritional status of individuals and aid in the prevention and/or treatment of inadequate nutrition', 'Plan, evaluate and conduct nutrition education programs and develop educational materials for various audiences', 'Practice on an individual basis or as a member of an interdisciplinary team to determine nutritional needs of patients and to plan, implement and evaluate normal and therapeutic menus to maintain and enhance general health', 'Analyze current scientific nutritional studies, conduct research and evaluate program effectiveness to improve the nutritional value, taste, appearance and preparation of food', 'Work within industry in the development, testing and evaluation, and marketing of food and nutrition products or as a company representative supplying product related information to health professionals', 'Confer with other health professionals, community groups, government and the media to provide consultation and advice in areas of nutrition interpretation, intervention and policy', 'Supervise training of dietetic interns.', 'Dietitians and nutritionists may specialize in areas such as administrative dietetics, clinical dietetics, community dietetics, public health nutrition or research dietetics.']","['public health nutritionist', 'dietitian-nutritionist', 'public health dietitian', 'research dietitian', 'nutrition specialist', 'administrative dietitian', 'clinical dietitian', 'community nutritionist', 'consultant dietitian', 'dietitian', 'nutritionist', 'registered dietitian (RD)']","['Managers in health care', 'Other medical technologists and technicians (except dental health)', 'Social policy researchers, consultants and program officers', 'Food service supervisors']"
/6438/ca,"Bricklayers lay bricks, concrete blocks, stone and other similar materials to construct or repair walls, arches, chimneys, fireplaces and other structures in accordance with blueprints and specifications. They are employed by construction companies and bricklaying contractors or they may be self-employed.","['Read sketches and blueprints to calculate materials required', 'Cut and trim bricks and concrete blocks to specification using hand and power tools', 'Prepare and lay bricks, concrete blocks, stone, structural tiles and similar materials to construct or repair walls, foundations and other structures in residential, industrial and commercial construction', 'Lay bricks or other masonry units to build residential or commercial chimneys and fireplaces', 'Lay radial bricks to build masonry shells of industrial chimneys', 'Lay or install firebricks to line industrial chimneys and smokestacks', 'Line or reline furnaces, kilns, boilers and similar installations using refractory or acid-resistant bricks, refractory concretes, plastic refractories and other materials', 'Lay bricks, stone or similar materials to provide veneer facing to walls or other surfaces', 'Construct and install prefabricated masonry units', 'Lay bricks or other masonry units to build patios, garden walls and other decorative installations', 'May restore, clean or paint existing masonry structures.']","['apprentice bricklayer', 'bricklayer', 'brickmason', 'refractory bricklayer', 'stonecutter', 'stonemason']","['Contractors and supervisors, other construction trades, installers, repairers and servicers', 'Concrete finishers', 'Tilesetters']"
/25792/ca,"Payroll administrators collect, verify and process payroll information, determine pay and benefit entitlements for employees, maintain accurate payroll records, and provide payroll information within a department, company or other establishment. They are employed by payroll administration companies and by establishments throughout the public and private sectors.","['Maintain and update employee information, such as records of employee attendance, leave and overtime to calculate pay and benefit entitlements, in Canadian and other currencies, using manual or computerized systems', 'Prepare and verify statements of earnings for employees, indicating gross and net salaries and deductions such as taxes, union dues, garnishments and insurance and pension plans', 'Prepare, verify and process all employee payroll related payments, including regular pay, benefit payments, and special payments such as bonuses and vacation pay', 'Complete, verify and process forms and documentation for administration of benefits such as pension plans, leaves, share savings, employment and medical insurance', 'Prepare payroll related filings and supporting documentation, such as year-end tax statements, pension, Records of Employment and other statements', 'Provide information on payroll matters, benefit plans and collective agreement provisions', 'Compile, review, and monitor statistical reports, statements, and summaries related to pay and benefits accounts', 'Prepare and balance period-end reports and reconcile issued payrolls to bank statements', 'Identify and resolve payroll discrepancies', 'May be responsible for the development or implementation of payroll policies, procedures or processes.']","['benefits officer - payroll administration', 'pay advisor', 'pay and benefits administrator', 'pay and benefits clerk', 'pay clerk', 'payroll clerk', 'payroll officer', 'salary administration officer']","['Supervisors, finance and insurance office workers', 'Employment insurance, immigration, border services and revenue officers', 'Personnel clerks', 'Human resources and recruitment officers']"
/27060/ca,"Supervisors of supply chain, tracking and scheduling co-ordination occupations supervise and co-ordinate the activities of workers in the following minor group: Supply chain logistics, tracking and scheduling co-ordination occupations (152). They are employed throughout the public and private sectors.","['Co-ordinate, assign and review the work of clerks engaged in the following duties: shipping, receiving, storing, distributing and maintaining inventories of materials, parts and products; processing purchasing transactions; co-ordinating production work; dispatching crews; scheduling transportation crews and routes; operating airport ramp servicing vehicles; and other related activities', 'Plan, organize and oversee operational logistics of the organization, establish work schedules and procedures, resolve work-related issues, prepare and submit progress and other reports and co-ordinate activities with other supply-chain work units or departments', 'Train workers in job duties, safety procedures and company policies', 'Requisition supplies and materials', 'Ensure smooth operation of computer systems, equipment and machinery and arrange for maintenance and repair work', 'May perform the same duties as workers supervised.']","['head dispatcher', 'head shipper', 'inventory control supervisor', 'supply control co-ordinator', 'production clerks supervisor', 'ramp services supervisor - airport', 'supervisor, receiving', 'parts service supervisor', 'dispatch logistician', 'logistics supervisor - transportation', 'freight forwarding logistician', 'flight crew scheduling supervisor']","['Supervisors, mail and message distribution occupations']"
/27262/ca,"Motorcycle of all-terrain vehicle and other related mechanics test, repair and service motorcycles, motor scooters, snowmobiles, outboard motors, forklifts and all-terrain vehicles. They are employed by service shops of motorcycle dealers and retailers and by independent service establishments.","['Review work orders and discuss work to be performed with supervisor', 'Inspect and test engine and other mechanical components using test devices to diagnose and isolate faults', 'Adjust, repair or replace mechanical or electrical system parts and components using hand tools and equipment', 'Test and adjust repaired systems for proper performance', 'Perform scheduled maintenance service on equipment', 'Advise customers on work performed and general condition of equipment', 'Determine estimates of repair cost', 'May repair and rebuild hoisting mechanism and other mechanical systems on industrial trucks and forklifts.']","['snowmobile repairer', 'motorcycle mechanic apprentice', 'all-terrain vehicle repairer', 'motor scooter repairer', 'motorcycle mechanic', 'forklift mechanic', 'industrial truck repairer', 'motor boat mechanic', 'outboard motor mechanic']","['Contractors and supervisors, mechanic trades', 'Other small engine and small equipment repairers']"
/17013/ca,"Tilesetters cover interior and exterior walls, floors and ceilings with ceramic, marble and quarry tile, mosaics or terrazzo. They are employed by construction companies and masonry contractors, or they may be self-employed.","['Prepare, measure and mark surface to be covered', 'Build underbeds and install anchor bolts, wires and brackets', 'Mix, apply and spread mortar, cement, mastic, glue or other adhesives using hand trowel', 'Set tiles in position and apply pressure to affix tiles to base', 'Align and straighten tile using levels, squares and straightedges', 'Cut and fit tiles around obstacles and openings using hand and power cutting tools', 'Pack grout into joints between tiles and remove excess grout', 'Install tile strips', 'Lay and set mosaic tiles to create decorative wall, mural and floor designs', 'Mix, lay and polish terra surfaces', 'Cut, polish and install marble and granite', 'Remove and replace cracked or damaged tiles', 'May prepare cost estimates and orders.']","['apprentice tilesetter', 'marble setter', 'terrazzo polisher', 'tilesetter', 'terrazzo worker', 'ceramic tile installer', 'tile installer']","['Contractors and supervisors, other construction trades, installers, repairers and servicers', 'Bricklayers', 'Plasterers, drywall installers and finishers and lathers']"
/18214/ca,"Physiotherapists assess patients and plan and carry out individually designed treatment programs to maintain, improve or restore physical functioning and mobility, alleviate pain and prevent physical dysfunction in patients. They are employed in hospitals, clinics, industry, sports organizations, rehabilitation centres and extended care facilities, or they may work in private practice.","[""Assess patients' physical abilities through evaluative procedures such as functional ability tests"", 'Establish treatment goals with patients based on physical diagnoses', 'Plan and implement programs of physiotherapy including therapeutic exercise, manipulations, massage, education, the use of electro-therapeutic and other mechanical equipment and hydrotherapy', 'Evaluate effectiveness of treatment plans and modify accordingly', 'Provide advice on exercise and strategies to implement at home to enhance and or maintain treatment', ""Communicate with referring physician and other health care professionals regarding patients' problems, needs and progress"", 'Maintain clinical and statistical records and confer with other health care professionals', 'Develop and implement health promotion programs for patients, staff and the community', 'May conduct research in physiotherapy', 'May provide consulting or education services.', 'Physiotherapists may focus their practice in particular clinical areas such as neurology, oncology, rheumatology, orthopedics, obstetrics, pediatrics, geriatrics, in the treatment of patients with cardiovascular and cardiopulmonary disorders, burns or sports injuries or in the field of ergonomics.']","['registered physiotherapist', 'research physiotherapist', 'physical therapist', 'physiotherapist']","['Managers in health care', 'Other technical occupations in therapy and assessment']"
/3806/ca,Probation officers monitor the conduct and behaviour of criminal offenders serving probation terms. Parole officers monitor the reintegration of criminal offenders serving the remainder of sentences while conditionally released into the community on parole. Classification officers assess inmates and develop rehabilitation programs for criminal offenders who are incarcerated in correctional facilities. They are employed by federal and provincial governments and work in the community and in correctional facilities.,"['Probation and parole officers', ""Interview offenders, police, family, friends, school authorities and employers to prepare pre-sentence reports and assess offenders' prospects for successful reintegration into the community"", 'Plan rehabilitation programs with offenders, establishing rules of conduct, goals and objectives', 'Refer offenders to community and social service programs, as required', 'Supervise the terms of a probation order and attend court', 'Interview probationers and parolees regularly to evaluate their progress in accomplishing goals and maintaining the terms specified in their probation contracts and rehabilitation plans', 'Recommend remedial action or initiate court action when terms of probation or parole are violated', 'May perform administrative duties and supervise support staff', 'May participate in policy development.', 'Classification officers - correctional institutions', 'Interview inmates to assess adjustment problems and develop suitable rehabilitation programs', 'Prepare classification reports recommending type of incarceration and types of interventions considered most beneficial for the rehabilitation of the inmates', 'Plan rehabilitation programs with offenders, identifying needs and setting out goals and objectives', ""Liaise with the inmates' families and contacts in the community to maintain established bonds outside of the institution"", 'Advise and counsel inmates regarding their problems and evaluate their progress.']","['classification officer - correctional institution', 'parole officer', 'probation officer', 'youth worker - corrections', 'case manager - corrections']","['Managers in social, community and correctional services', 'Social and community service workers', 'Correctional service officers', 'Social workers']"
/14478/ca,Workers in other service support occupations perform a range of services not elsewhere identified. They are employed in a wide range of establishments; places of employment are usually indicated in the job title.,"['Beauty salon attendants', ""Shampoo, condition and dry customers' hair and assist hair stylists as directed"", 'Keep work areas clean.', 'Door attendants', 'Assist persons entering or leaving residential buildings, theatres and similar establishments', 'May call taxis and assist with parcels.', 'Funeral home attendants', 'Drive hearses', 'Arrange lights and floral displays', 'Escort mourners and act as pallbearers', 'Clean funeral parlours and chapels.', 'Laundromat attendants', 'Replenish vending machines', 'Provide change', 'Explain operation of machines to customers', 'Clean the laundromat and arrange for the repair of broken machines', 'May wash, dry and fold laundry for customers', 'May operate dry cleaning machines for customers.', 'Parking lot attendants and car jockeys', 'Collect parking fees and issue ticket stubs', 'Direct customers to parking spaces and park cars.', 'Ticket takers and ushers', 'Collect admission tickets or passes from patrons at entertainment events and direct patrons to their seats.', 'Other workers in this group', 'Perform services specific to the establishments in which their occupations are found.']","['theatre usher', 'beauty salon attendant', 'cloakroom attendant', 'fur storage attendant', 'laundromat attendant', 'parking lot attendant', 'tanning salon attendant', 'toll booth attendant', 'hotel valet', 'funeral home attendant', 'car jockey', 'shoe shiner', 'ticket taker', 'door attendant (except hotel)']","['Other services supervisors', 'Operators and attendants in amusement, recreation and sport']"
